code,name,ind,price,dcf_n,dcf_o,dcf_up,np_,kf,py,ry,ocf,fcf,debt,gm,nm,roe,pb,pe_ttm,dy,fcap,quality,growth,value,health,ind_s,final
002709,天赐材料,电池化学品,33.36,84.44,185.09,153.12,28.61,28.07,967.91,109.28,3.97,-1.68,36.22,33.55,19.35,14.1,3.35,17.2,1.34,503.41,48.95,100.0,80.98,79.23,78,62.47
001309,德明利,集成电路设计,413.09,1596.03,3498.38,286.36,60.17,59.66,5201.6,311.55,-67.36,-70.46,70.34,47.12,35.58,61.54,9.58,13.73,0.46,682.52,73.78,100.0,69.09,34.47,82,62.37
688111,金山办公,云软件服务,223.61,51.52,103.78,-76.96,25.18,24.87,236.94,24.69,6.43,6.43,27.79,84.9,75.99,16.7,6.88,28.77,0.56,1037.58,84.37,81.92,42.33,97.32,72,62.2
603605,珀莱雅,化妆品,55.83,54.48,91.27,-2.42,11.68,6.64,46.26,0.24,9.51,8.84,33.66,74.32,22.22,17.41,3.32,11.84,4.24,221.07,77.57,55.24,75.15,91.69,75,61.3
301536,星宸科技,集成电路设计,125.77,48.5,106.32,-61.44,8.63,7.12,619.5,89.43,3.7,3.4,44.09,55.36,32.54,22.24,13.66,50.45,0.71,235.43,79.72,99.4,16.16,81.67,82,60.89
002027,分众传媒,其他广告营销,4.66,6.69,11.21,43.56,31.28,22.91,17.39,-1.98,44.53,39.61,35.64,70.54,52.05,22.36,4.81,19.74,6.22,673.01,96.41,48.29,73.96,89.79,60,60.52
300223,君正股份,集成电路设计,142.97,104.74,229.59,-26.74,11.98,11.66,489.6,75.95,9.59,8.75,9.18,51.75,30.32,8.81,5.08,53.71,0.1,604.67,62.58,95.76,29.36,100.0,82,60.42
000408,藏格矿业,钾肥,72.16,20.56,40.63,-71.51,36.38,37.06,102.09,23.05,9.84,8.96,7.77,66.69,175.76,21.15,6.58,19.9,3.46,1132.12,87.41,73.68,50.86,100.0,60,60.38
688336,三生国健,抗体,40.48,18.78,42.25,-53.61,3.71,2.6,95.1,34.84,-0.66,-1.73,3.69,80.48,42.52,4.36,4.27,11.78,0.87,362.79,65.24,75.33,63.35,78.0,80,59.89
601872,招商轮船,航运,22.36,25.16,55.16,12.52,69.6,69.07,227.57,56.15,81.31,33.77,47.53,44.98,35.71,14.86,3.85,16.64,1.7,1805.47,68.38,90.41,72.78,78.37,60,59.87
000858,五粮液,白酒,70.0,77.75,149.76,11.07,87.53,84.83,89.3,20.87,-21.54,-25.85,34.62,80.29,31.66,7.39,2.29,20.77,7.37,2717.06,64.89,70.28,72.6,68.76,82,59.84
600961,株冶集团,铅锌,25.5,94.2,214.33,269.41,19.48,19.52,232.75,35.91,22.72,21.85,34.01,20.07,13.77,33.24,4.67,11.0,0.0,273.58,59.35,84.95,82.39,91.35,58,59.34
603259,药明康德,医疗研发外包,160.0,107.29,251.75,-32.94,110.8,105.72,29.43,38.93,96.99,67.38,27.85,53.91,38.5,13.3,5.73,22.4,1.28,3957.25,73.16,61.99,54.11,97.26,75,59.04
600989,宝丰能源,煤化工,23.59,43.35,95.0,83.76,97.28,92.1,70.14,32.33,119.64,73.61,41.84,43.56,32.21,17.62,3.13,11.26,3.53,1729.94,70.55,69.16,86.09,83.83,58,58.99
600938,中国海油,油气开采,32.3,90.6,166.29,180.5,858.18,857.33,23.42,16.88,1416.31,882.56,28.6,53.46,35.39,10.02,1.79,11.1,4.0,965.77,69.68,54.71,89.3,96.54,60,58.74
300502,新易盛,网络接配及塔设,445.0,15.21,33.34,-96.58,75.29,75.11,90.98,100.34,16.16,3.53,33.24,48.44,36.19,30.99,25.54,47.31,0.16,5583.52,79.85,89.77,18.93,92.09,72,58.66
688200,华峰测控,半导体设备,407.93,10.12,23.57,-97.52,4.16,2.43,112.6,38.17,1.07,0.42,18.51,74.7,56.15,5.68,11.23,108.44,0.2,820.42,70.22,80.08,10.0,100.0,90,58.62
600872,中炬高新,调味品,17.16,24.41,46.1,42.25,4.14,3.66,61.25,19.23,6.19,5.66,31.84,42.79,16.51,7.43,2.38,19.13,2.55,132.3,51.19,63.67,80.06,93.43,78,58.59
300308,中际旭创,网络接配及塔设,926.43,692.92,1518.83,-25.21,136.51,130.92,241.7,182.49,18.0,-30.02,36.08,46.25,35.27,34.25,25.92,53.35,0.23,10282.79,76.66,100.0,18.57,79.36,72,58.24
601899,紫金矿业,铜,31.41,50.5,91.44,60.78,391.7,380.35,68.17,15.78,554.72,425.29,49.55,37.75,25.65,19.03,4.14,12.35,2.54,6471.02,67.51,64.26,83.36,76.43,65,57.99
300009,安科生物,基因药物,8.16,3.34,5.6,-59.07,3.32,3.19,-9.33,-15.04,2.72,2.29,13.94,75.82,31.0,7.79,3.2,19.45,3.06,100.44,70.89,38.89,59.36,100.0,82,57.51
688117,圣诺生物,其他生物制药,24.05,9.21,20.19,-61.7,1.35,1.34,51.98,50.27,0.87,0.34,44.8,58.73,26.65,11.8,4.63,25.96,1.04,52.99,64.42,70.01,50.2,80.99,80,57.35
000568,泸州老窖,白酒,71.92,22.67,37.98,-68.48,43.39,42.91,-43.37,-36.35,20.82,13.68,28.67,85.35,41.8,9.49,2.31,14.1,8.03,1057.99,76.08,25.64,66.21,96.48,82,57.14
300604,长川科技,半导体设备,279.73,1.62,3.54,-99.42,9.64,9.22,125.67,59.72,3.33,0.17,52.77,55.48,27.82,17.12,31.44,96.67,0.07,1369.22,68.55,88.77,10.0,73.34,90,56.93
300760,迈瑞医疗,医疗设备,156.87,80.03,128.58,-48.98,47.97,47.85,-5.37,6.0,48.77,38.13,25.47,60.83,28.44,11.83,4.69,24.17,2.7,1899.17,69.78,45.44,51.84,99.55,80,56.76
002555,三七互娱,游戏,17.59,10.96,18.35,-37.69,17.66,10.16,26.14,-14.28,10.89,9.94,38.09,77.47,24.23,12.53,2.76,11.91,5.2,287.38,71.76,46.9,69.44,87.43,70,56.44
000089,深圳机场,机场,6.46,12.87,20.63,99.23,7.37,2.68,135.97,6.12,11.36,10.35,49.68,24.09,27.81,6.12,1.1,13.95,2.48,132.48,47.5,76.57,88.28,76.31,65,56.38
300059,东方财富,证券,18.37,103.4,250.9,462.87,80.64,77.27,44.85,44.48,303.14,301.0,80.54,86.21,353.76,8.19,2.95,19.93,0.54,2460.18,79.83,66.88,79.54,46.68,60,56.35
603993,洛阳钼业,钨钼,17.51,29.48,71.85,68.36,161.52,156.06,86.27,42.78,163.34,114.74,52.16,23.01,13.63,17.95,4.18,13.47,2.18,3057.39,49.74,75.53,82.27,73.93,68,56.26
002460,赣锋锂业,锂,46.2,133.53,292.69,189.03,42.57,38.48,901.36,175.75,13.28,-4.72,55.12,31.51,19.19,8.83,2.01,15.13,0.32,559.65,41.25,100.0,86.02,61.08,62,56.2
688012,中微公司,半导体设备,354.92,133.78,301.21,-62.31,28.25,11.23,300.22,34.89,6.85,-0.92,19.73,39.74,41.8,9.4,11.32,80.35,0.06,3344.05,58.81,84.67,10.0,90.0,90,55.92
601688,华泰证券,证券,18.33,503.38,1190.6,2646.21,116.92,117.02,54.87,45.86,788.32,782.55,84.0,58.29,49.46,5.41,0.93,8.06,3.16,1339.33,70.24,69.45,90.0,43.36,60,55.86
688008,澜起科技,集成电路设计,202.53,33.56,69.13,-83.43,19.97,13.22,72.33,26.66,13.28,10.73,7.51,65.31,58.2,9.28,11.5,80.42,0.29,2318.49,74.25,68.11,10.0,100.0,82,55.85
300957,贝泰妮,化妆品,31.59,23.29,38.77,-26.27,2.92,2.46,18.3,9.27,3.94,3.62,23.8,74.62,11.07,4.74,2.17,24.29,2.51,133.82,58.34,51.53,62.32,100.0,75,55.71
600150,中国船舶,航海装备,39.47,54.03,110.47,36.89,99.54,97.42,163.51,26.01,109.18,106.52,62.41,17.37,11.66,6.53,1.95,21.18,2.1,2970.36,34.32,82.27,78.22,64.09,82,55.58
600900,长江电力,水力发电,28.27,19.63,32.89,-30.56,147.56,142.94,13.02,3.36,241.28,196.94,59.36,57.89,39.64,6.83,3.2,19.11,3.54,6917.17,71.53,48.77,63.55,67.01,78,55.55
002297,博云新材,航空装备,22.03,17.87,39.17,-18.88,1.7,1.62,1911.6,88.33,-0.44,-0.6,34.15,44.4,23.25,7.4,5.5,56.46,0.0,126.25,46.64,99.1,27.5,69.22,88,55.52
601816,京沪高铁,铁路运输,4.75,5.16,8.64,8.63,67.71,67.71,7.21,3.94,106.85,103.42,20.94,45.36,31.31,3.23,1.11,17.05,2.01,2323.97,56.26,47.65,77.28,100.0,68,55.23
002606,大连电瓷,线缆部件及其他,12.68,7.66,17.23,-39.59,1.55,1.46,232.18,48.59,0.9,0.57,34.34,38.69,17.92,7.57,2.72,17.4,0.58,53.43,45.26,88.37,64.4,91.03,62,55.23
000538,云南白药,中药,51.05,53.09,88.95,4.0,37.01,35.18,1.88,2.95,41.06,38.84,25.56,30.06,16.89,9.03,2.22,17.44,5.13,910.8,46.38,46.21,74.28,99.46,80,55.09
002001,新和成,食品助剂,26.32,24.17,45.12,-8.17,40.11,39.19,11.31,18.28,36.4,22.7,24.96,44.22,30.68,11.5,2.32,11.28,3.8,799.3,61.45,52.42,76.4,100.0,58,54.75
601600,中国铝业,铝,9.35,37.08,60.47,296.58,118.71,116.5,67.91,7.74,262.63,227.17,42.76,26.94,17.14,14.05,1.9,9.18,4.52,1234.51,51.97,62.03,89.04,82.95,60,54.73
688072,拓荆科技,半导体设备,720.06,271.81,606.12,-62.25,13.43,3.67,1324.1,49.06,1.15,-1.06,47.85,41.0,45.35,10.56,16.46,96.72,0.09,2046.32,60.52,88.5,10.0,68.06,90,54.66
600026,中远海能,航运,22.07,9.47,20.24,-57.09,45.45,44.49,143.21,30.03,69.62,11.8,49.04,41.39,31.57,9.45,2.51,17.99,2.99,844.84,56.34,83.36,62.3,76.92,60,54.62
